0 	 -1 	9
0 	 -1 	16
1 	703	30
0 	 -1 	17
1 	11	55
0 	 -1 	11
1 	6	55
1 	4	55
0 	 -1 	8
1 	332	17
1 	4	55
0 	 -1 	14
1 	4	55
1 	288	18
1 	4	55
0 	 -1 	13
1 	11	48
1 	4	55
1 	4	55
0 	 -1 	15
1 	6	55
0 	 -1 	7
1 	19	40
1 	8	55
1 	4	55
1 	303	12
0 	 -1 	18
1 	191	14
1 	8	45
0 	 -1 	7
1 	4	55
1 	6	27
1 	15	43
0 	 -1 	6
1 	741	25
1 	955	19
1 	626	15
0 	 -1 	19
1 	97	13
1 	233	27
1 	11	30
0 	 -1 	12
0 	 -1 	15
0 	 -1 	6
0 	 -1 	5
1 	4	55
1 	851	15
0 	 -1 	8
0 	 -1 	11
0 	 -1 	7
0 	 -1 	5
1 	396	17
0 	 -1 	6
0 	 -1 	13
1 	1000	11
0 	 -1 	10
0 	 -1 	19
1 	7	55
1 	4	55
1 	8	55
1 	6	55
0 	 -1 	11
1 	176	12
0 	 -1 	16
0 	 -1 	10
0 	 -1 	10
0 	 -1 	10
1 	737	13
1 	151	40
1 	229	22
1 	640	10
1 	4	55
0 	 -1 	18
1 	750	18
1 	4	55
0 	 -1 	7
1 	19	55
1 	11	55
0 	 -1 	7
1 	6	55
0 	 -1 	7
1 	13	55
1 	373	17
1 	226	24
0 	 -1 	18
1 	6	55
0 	 -1 	16
0 	 -1 	10
0 	 -1 	5
1 	11	55
1 	694	15
0 	 -1 	16
0 	 -1 	16
0 	 -1 	13
1 	4	55
1 	13	55
1 	9	55
1 	11	55
0 	 -1 	5
1 	4	55
0 	 -1 	20
1 	11	51
1 	4	55
0 	 -1 	19
1 	4	55
1 	164	18
0 	 -1 	6
1 	618	29
0 	 -1 	9
1 	168	15
0 	 -1 	5
1 	28	55
1 	6	55
0 	 -1 	11
1 	4	55
1 	6	55
1 	4	55
0 	 -1 	8
0 	 -1 	13
1 	856	16
1 	4	55
1 	4	22
1 	459	19
0 	 -1 	8
0 	 -1 	7
1 	4	55
1 	13	55
0 	 -1 	19
0 	 -1 	11
1 	9	55
1 	441	9
1 	4	55
1 	4	55
1 	396	22
0 	 -1 	13
0 	 -1 	20
1 	289	27
0 	 -1 	16
1 	8	55
1 	6	53
0 	 -1 	15
1 	305	9
1 	4	55
0 	 -1 	13
0 	 -1 	17
1 	420	18
